"","ASSESSMENT","RECORD_ID","Pollu_ID","STREAM_LAK","STREAM_NAM","LAKE_NAME","BEACH_NAME","LLID_STR_1","LLID_LAKE","SEGMENT_ID","HUC_4TH_NA","HUC_3RD_NA","MILES","RM1","RM2","POLLUTANT","SEASON","SEASON_ID","ASSESSME_1","ASSESSME_2","ACTION","ACTION_ID","NUMERIC_CR","AFFECTED_U","LISTING_ST","STATUS_ID","PREVIOUS_S","PREVIOUS_A","LISTING_YE","TMDL_INFO","CRITERIA","COMMENTS","SUMMARY"
"1770",28214,23413,156,"McNulty Creek","McNulty Creek","","",1228186458358,NA,1635,"Lower Willamette","Willamette","0 to 5.8",0,5.8,"Biological Criteria","Year Round",3,2010,"1/29/2013","No action",21,3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:   
LASAR 33491 River Mile 1.28 FROM 7/18/2006 To 7/18/2006 1 out of 1 (100%) samples outside MWCF regional criteria."
"1771",27938,23611,156,"Crane Creek","Crane Creek","","",1184777448936,NA,3070,"North Fork John Day","John Day","0 to 8.1",0,8.1,"Biological Criteria","Year Round",3,2010,"1/29/2013","No action",21,3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:   
LASAR 35807 River Mile 2.53 FROM 7/14/2000 To 7/14/2000 1 out of 1 (100%) samples outside WCCP regional criteria."
"1772",25715,4008,132,"Foster Creek","Foster Creek","","",1240473426347,NA,2471,"Lower Rogue","Southern Oregon Coastal","0 to 5.2",0,5.2,"Temperature","Summer",1,2010,"10/29/2010","No action",21,17,"Anadromous fish passage; Salmonid fish rearing","Cat 5: Water quality limited, 303(d) list, TMDL needed",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 12/29/2008
Rogue River Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/rogue.htm"">Rogue River Basin TMDL</a>","Rearing: 17.8 C","","Previous Data: 
USFS Data (Site at mouth): 7 day moving average of daily maximums from 1990 to 96 exceed temperature standard (64)  (67.8, 67.6, 68.1, 65.0, 67.7, 67.0, 68.7 ??F )."
"1773",28582,24222,156,"Oliver Creek","Oliver Creek","","",1240313444801,NA,31365,"Alsea","Northern Oregon Coastal","0 to 2",0,2,"Biological Criteria","Year Round",3,2010,"1/29/2013","No action",21,3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:   
LASAR 34660 River Mile 0.63 FROM 9/10/2007 To 9/10/2007 1 out of 1 (100%) samples outside MWCF regional criteria."
"1774",3381,3451,132,"China Creek","China Creek","","",1182170445700,NA,345,"Burnt","Middle Snake-Powder","0 to 7.7",0,7.7,"Temperature","Summer",1,1998,"12/1/1998","No action",21,17,"Salmonid fish rearing","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: 303(d)","Previous Action: Added to database","Previous Assessment Year: 1998","","Rearing: 17.8 C","","Previous Data:  USFS Data (Site T11S-R37E-14 at National Forest Boundary): 7 day average of daily maximums of 68.8 with 38 days exceeding temperature standard (64) in 1993."
"1775",28203,23409,156,"Boulder Creek","Boulder Creek","","",1227784430529,NA,1603,"South Umpqua","Southern Oregon Coastal","0 to 10.7",0,10.7,"Biological Criteria","Year Round",3,2010,"1/29/2013","No action",21,3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:   
LASAR 33458 River Mile 1.5 FROM 8/22/2006 To 9/19/2007 2 out of 2 (100%) samples outside WCCP regional criteria."
"1776",25787,5383,132,"Quartz Creek","Quartz Creek","","",1226489430829,NA,1517,"South Umpqua","Southern Oregon Coastal","0 to 8.4",0,8.4,"Temperature","Summer",1,2010,"10/29/2010","No action",21,17,"Anadromous fish passage; Salmonid fish rearing","Cat 5: Water quality limited, 303(d) list, TMDL needed",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 04/12/2007
Umpqua Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/umpqua.htm"">Umpqua Basin TMDL</a>","Rearing: 17.8 C","","Previous Data: 
USFS Data (Site at mouth): 7 day average of daily maximums of 68.7/66.4/67.8/65.6/69.0 exceeded temperature standard (64) in 1990/91/92/93/94 respectively."
"1777",28541,23510,156,"Little Nestucca River","Little Nestucca River","","",1239429451662,NA,2397,"Wilson-Trask-Nestucca","Northern Oregon Coastal","0 to 20.5",0,20.5,"Biological Criteria","Year Round",3,2010,"1/29/2013","No action",21,3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:   
LASAR 21802 River Mile 11.8 FROM 8/26/1999 To 8/26/1999 1 out of 1 (100%) samples outside MWCF regional criteria."
"1778",28610,24743,172,"Wind Creek","Wind Creek","","",1240885436633,NA,11333,"Umpqua","Southern Oregon Coastal","0 to 3.1",0,3.1,"Sedimentation","Year Round",3,2010,"1/29/2013","No action",21,5,"","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: EPA addition to 303(d) list","Previous Assessment Year: 2010","","The formation of appreciable bottom or sludge deposits or the formation of any organic or inorganic deposits deleterious to fish or other aquatic life or injurious to public health, recreation, or industry may not be allowed.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:  Lasar Station 25390 (WORP99-0748) 1 out of 1 (100%) samples outside the Coast range Ecoregion criteria, data collected in 2001."
"1779",9986,1716,171,"Skookum Creek","Skookum Creek","","",1194313449697,NA,731,"North Fork John Day","John Day","0 to 12.4",0,12.4,"Habitat Modification","Undefined",72,2002,"8/1/2002","No action",21,4,"Salmonid fish spawning; Resident fish and aquatic life; Salmonid fish rearing","Cat 4C: Water quality limited, not a pollutant",16,"Previous Status: Water quality limited not needing a TMDL","Previous Action: Delisted - Water quality limited, not a pollutant","Previous Assessment Year: 2002","","The creation of tastes or odors or toxic or other conditions that are deleterious to fish or other aquatic life or affect the potability of drinking water or the palatability of fish or shellfish may not be allowed.","","Steelhead redds have shown declining trends over past few years, habitat factors (pool frequency and depth) did not meet PACFISH objectives (Wall Ecosystem Analysis, 1995)."
"1780",28127,23375,156,"Breitenbush River","Breitenbush River","","",1221580447267,NA,1303,"North Santiam","Willamette","0 to 12.2",0,12.2,"Biological Criteria","Year Round",3,2010,"1/29/2013","No action",21,3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:   
LASAR 33859 River Mile 7.72 FROM 8/29/2006 To 8/29/2006 1 out of 1 (100%) samples outside WCCP regional criteria."
"1781",28109,24483,172,"Williamson River","Williamson River","","",1219591424414,NA,8796,"Williamson; Upper Klamath Lake","Klamath","0 to 94.6",0,94.6,"Sedimentation","Year Round",3,2010,"1/29/2013","No action",21,5,"","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: EPA addition to 303(d) list","Previous Assessment Year: 2010","","The formation of appreciable bottom or sludge deposits or the formation of any organic or inorganic deposits deleterious to fish or other aquatic life or injurious to public health, recreation, or industry may not be allowed.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:  Lasar Station 31491 (ORSE04-R014) 1 out of 1 (100%) samples outside the East Cascades Ecoregion criteria, data collected in 2004."
"1782",27735,2194,132,"Big Creek","Big Creek","","",1186252441447,NA,527,"Upper Malheur","Middle Snake-Boise","0 to 6.1",0,6.1,"Temperature","Summer",1,2010,"3/11/2011","No action",21,20,"Salmonid fish rearing; Salmonid fish spawning","Cat 5: Water quality limited, 303(d) list, TMDL needed",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 12/03/2010
Malheur River Basin TMDL and WQMP
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/malheurriver.htm"">Malheur River Basin TMDL and WQMP</a>","Bull Trout: 10.0 C","","Previous Data: 
ODFW Data (Site at FSR 16, 16S,33.5E,14): 7 day average of daily maximums of 59 and 61 exceeded Bull Trout temperature standard (50) in 1993 and 1994 respectively."
"1783",25763,4437,132,"Willow Creek","Willow Creek","","",1224874425214,NA,1450,"Upper Rogue","Southern Oregon Coastal","0 to 4.5",0,4.5,"Temperature","Summer",1,2010,"10/29/2010","No action",21,17,"Anadromous fish passage; Salmonid fish rearing","Cat 5: Water quality limited, 303(d) list, TMDL needed",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 12/29/2008
Rogue River Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/rogue.htm"">Rogue River Basin TMDL</a>","Rearing: 17.8 C","","Previous Data: 
USFS temperature data 7 day Ave. Max 76.1??F, exceeded 64??F, 48 times in 1997.  MWC data at Willow Creek dam 1995, 64.0; 1996, 62.1??F.  At mouth 1996, 72.9??F"
"1784",28422,24303,156,"Jumpoff Joe Creek","Jumpoff Joe Creek","","",1234983425291,NA,31446,"Lower Rogue","Southern Oregon Coastal","0 to 14",0,14,"Biological Criteria","Year Round",3,2010,"1/29/2013","No action",21,3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:   
LASAR 13196 River Mile 1.2 FROM 8/11/1999 To 7/13/2005 5 out of 5 (100%) samples outside WCCP regional criteria."
"1785",28280,23766,156,"Row River","Row River","","",1230436438208,NA,9669,"Coast Fork Willamette","Willamette","0 to 20.8",0,20.8,"Biological Criteria","Year Round",3,2010,"1/29/2013","No action",21,3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:   
LASAR 33840 River Mile 2.63 FROM 8/15/2006 To 8/15/2006 1 out of 1 (100%) samples outside MWCF regional criteria."
"1786",9703,960,171,"Fly Creek","Fly Creek","","",1183950452096,NA,415,"Upper Grande Ronde","Lower Snake","0 to 13.3",0,13.3,"Habitat Modification","Undefined",72,2002,"8/1/2002","No action",21,4,"Resident fish and aquatic life; Salmonid fish spawning; Salmonid fish rearing","Cat 4C: Water quality limited, not a pollutant",16,"Previous Status: Water quality limited not needing a TMDL","Previous Action: Delisted - Water quality limited, not a pollutant","Previous Assessment Year: 2002","","The creation of tastes or odors or toxic or other conditions that are deleterious to fish or other aquatic life or affect the potability of drinking water or the palatability of fish or shellfish may not be allowed.","","Summer Steelhead are a stock of concern.  Large woody debris (LWD) has been identified as below desired feature conditions (DFC) (Upper/Middle GR River Basin Assessment, Bach, 1995)."
"1787",25711,3958,132,"Neil Creek","Neil Creek","","",1226659421944,NA,3282,"Middle Rogue","Southern Oregon Coastal","0 to 4.8",0,4.8,"Temperature","Summer",1,2010,"10/29/2010","No action",21,17,"Anadromous fish passage; Salmonid fish rearing","Cat 5: Water quality limited, 303(d) list, TMDL needed",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 10/02/2007
Bear Creek TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/rogue.htm"">Bear Creek TMDL</a>","Rearing: 17.8 C","","Previous Data: 
ODFW Data (Site T39S,R1E,S11): 7 day moving average of daily maximums of 72.2 with 77 days exceeding temperature standard (64) in 1994.  1997 (73.0??F)."
"1788",28597,24233,156,"Dry Creek","Dry Creek","","",1240548436501,NA,31376,"Umpqua","Southern Oregon Coastal","0 to 1",0,1,"Biological Criteria","Year Round",3,2010,"1/29/2013","No action",21,3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:   
LASAR 33421 River Mile 0.47 FROM 8/10/2006 To 8/10/2006 1 out of 1 (100%) samples outside MWCF regional criteria."
"1789",28392,24097,156,"Hardscrabble Creek","Hardscrabble Creek","","",1233695436649,NA,31235,"Umpqua","Southern Oregon Coastal","0 to 5.7",0,5.7,"Biological Criteria","Year Round",3,2010,"1/29/2013","No action",21,3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:   
LASAR 33433 River Mile 3.4 FROM 8/17/2006 To 8/17/2006 1 out of 1 (100%) samples outside WCCP regional criteria."
"1790",28396,24101,156,"Sager Creek","Sager Creek","","",1234011459864,NA,31239,"Nehalem","Northern Oregon Coastal","0 to 3.9",0,3.9,"Biological Criteria","Year Round",3,2010,"1/29/2013","No action",21,3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:   
LASAR 33299 River Mile 3.25 FROM 8/21/2006 To 8/21/2006 1 out of 1 (100%) samples outside MWCF regional criteria."
"1791",28474,24154,156,"South Fork Kilchis River","South Fork Kilchis River","","",1237541456044,NA,31294,"Wilson-Trask-Nestucca","Northern Oregon Coastal","0 to 5.6",0,5.6,"Biological Criteria","Year Round",3,2010,"1/29/2013","No action",21,3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:   
LASAR 34636 River Mile 1.54 FROM 8/16/2007 To 8/16/2007 1 out of 1 (100%) samples outside MWCF regional criteria."
"1792",28163,23396,156,"Falcon Creek","Falcon Creek","","",1225523429978,NA,1473,"South Umpqua","Southern Oregon Coastal","0 to 4.4",0,4.4,"Biological Criteria","Year Round",3,2010,"1/29/2013","No action",21,3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:   
LASAR 33457 River Mile 0.49 FROM 8/22/2006 To 9/18/2007 2 out of 2 (100%) samples outside WCCP regional criteria."
"1793",28403,24105,156,"Burke Creek","Burke Creek","","",1234436433644,NA,31243,"Umpqua","Southern Oregon Coastal","0 to 2.7",0,2.7,"Biological Criteria","Year Round",3,2010,"1/29/2013","No action",21,3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:   
LASAR 33443 River Mile 0.48 FROM 8/15/2006 To 8/15/2006 1 out of 1 (100%) samples outside WCCP regional criteria."
"1794",28494,24671,132,"Five Rivers","Five Rivers","","",1238291443583,NA,31625,"Alsea","Northern Oregon Coastal","6.5 to 22.4",6.5,22.4,"Temperature","October 15 - June 15",45,2010,"1/29/2013","No action",21,19,"","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: EPA addition to 303(d) list","Previous Assessment Year: 2010","","Spawning: 12.8 C","","2010 Data:
EPA addition to 303(d) list 12/14/2012:  Exceedences of the salmonid spawning criterion (13 C) as high as 15.8 C in June 2006 at LASAR station 26819, Five River."
"1795",28177,23401,156,"Johnson Creek","Johnson Creek","","",1226465454422,NA,1515,"Lower Willamette","Willamette","0 to 23.7",0,23.7,"Biological Criteria","Year Round",3,2010,"1/29/2013","No action",21,3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:   
LASAR 30346 River Mile 2.6 FROM 8/11/2003 To 3/18/2004 2 out of 2 (100%) samples outside MWCF regional criteria."
"1796",28434,23614,156,"Cedar Creek","Cedar Creek","","",1235608455763,NA,3090,"Wilson-Trask-Nestucca","Northern Oregon Coastal","0 to 4.3",0,4.3,"Biological Criteria","Year Round",3,2010,"1/29/2013","No action",21,3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:   
LASAR 33283 River Mile 1.53 FROM 8/22/2006 To 8/22/2006 1 out of 1 (100%) samples outside MWCF regional criteria."
"1797",28038,24266,156,"North Fork Crooked River","North Fork Crooked River","","",1202468441164,NA,31411,"Upper Crooked","Deschutes","26.8 to 44.7",26.8,44.7,"Biological Criteria","Year Round",3,2010,"1/29/2013","No action",21,3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:   
LASAR 35851 River Mile 39.1 FROM 6/25/2001 To 6/25/2001 1 out of 1 (100%) samples outside WCCP regional criteria."
"1798",27739,2206,132,"Lake Creek","Lake Creek","","",1186252441446,NA,526,"Upper Malheur","Middle Snake-Boise","0 to 11.9",0,11.9,"Temperature","Summer",1,2010,"3/11/2011","No action",21,20,"Salmonid fish spawning; Salmonid fish rearing","Cat 5: Water quality limited, 303(d) list, TMDL needed",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 12/03/2010
Malheur River Basin TMDL and WQMP
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/malheurriver.htm"">Malheur River Basin TMDL and WQMP</a>","Bull Trout: 10.0 C","","Previous Data: 
ODFW Data (Site at FSR 16, 16S,33.5E,14): 7 day average of daily maximums of 65 and 74 exceeded Bull Trout temperature standard (50) in 1993 and 1994 respectively."
"1799",28381,23559,156,"Wolf Creek","Wolf Creek","","",1232974457613,NA,2808,"Nehalem","Northern Oregon Coastal","0 to 7.8",0,7.8,"Biological Criteria","Year Round",3,2010,"1/29/2013","No action",21,3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:  LASAR 34617 River Mile 3.19 FROM 9/10/2007 To 9/10/2007 1 out of 1 (100%) samples outside MWCF regional criteria."
"1800",25758,4425,132,"Hobart Creek","Hobart Creek","","",1111111111113,NA,23,"Middle Rogue","Southern Oregon Coastal","0 to 0",0,0,"Temperature","Summer",1,2010,"10/29/2010","No action",21,17,"Salmonid fish rearing; Anadromous fish passage","Cat 5: Water quality limited, 303(d) list, TMDL needed",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 10/02/2007
Bear Creek TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/rogue.htm"">Bear Creek TMDL</a>","Rearing: 17.8 C","","Previous Data: 
FOG Data (Sites above confluence with Tyler Creek):  7 day moving average of daily maximums of 68.6 with 34 days exceeded temperature standard (64) in 1996."
"1801",28003,23960,156,"East Bologna Canyon","East Bologna Canyon","","",1196472448034,NA,31088,"Lower John Day","John Day","0 to 6.7",0,6.7,"Biological Criteria","Year Round",3,2010,"1/29/2013","No action",21,3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:   
LASAR 30414 River Mile 4.4 FROM 7/15/2003 To 7/15/2003 1 out of 1 (100%) samples outside WCCP regional criteria."
"1802",27951,23280,156,"Oriental Creek","Oriental Creek","","",1187277449752,NA,569,"North Fork John Day","John Day","0 to 3.8",0,3.8,"Biological Criteria","Year Round",3,2010,"1/29/2013","No action",21,3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:   
LASAR 26927 River Mile 1.91 FROM 7/25/2002 To 7/25/2002 1 out of 1 (100%) samples outside WCCP regional criteria."
"1803",30500,25614,109,"Cold Springs Canyon/Cold Springs Reservoir","Cold Springs Canyon","Cold Springs Reservoir","",1191730458634,1191556458611,31864,"Umatilla","Middle Columbia","0 to 3",0,3,"Mercury","Year Round",3,2012,"6/25/2013","Added to database",7,46,"Human health","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"","","","","Table 40 Human Health Criteria for Toxic Pollutants","","2012 Data: 
[ODEQ] STATION 36362 at RM 0 from 9/15/2010 to 9/15/2010, the geometric mean of 0.166 mg/Kg from 5 valid individual fish tissue samples exceeds the 0.040 mg/kg criteria"
"1804",28013,24430,154,"Kahler Creek","Kahler Creek","","",1198217448330,NA,31520,"Lower John Day","John Day","10.6 to 13.8",10.6,13.8,"Dissolved Oxygen","January 1 - May 15",41,2010,"1/29/2013","No action",21,4,"","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: EPA addition to 303(d) list","Previous Assessment Year: 2010","","Spawning: Not less than 11.0 mg/L or 95% of saturation","","2010 Data:
EPA addition to 303(d) list 12/14/2012:  Six exceedences of the spawning criteria out of 7 days of sampling collection between 2/99 and 5/02 at STORET station 14210003."
"1805",28240,24547,124,"Lone Pine Creek","Lone Pine Creek","","",1228896423703,NA,31577,"Middle Rogue","Southern Oregon Coastal","0 to 5.4",0,5.4,"pH","Summer",1,2010,"1/29/2013","No action",21,16,"","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: EPA addition to 303(d) list","Previous Assessment Year: 2010","","pH 6.5 to 8.5","","2010 Data:
EPA addition to 303(d) list 12/14/2012:  15 out of 43 samples (35%) collected at Lasar station 12536 from 6/5/02 to 9/11/08 were outside the applicable criteria."
"1806",27908,23909,156,"Dutch Flat Creek","Dutch Flat Creek","","",1180868449699,NA,31035,"Powder","Middle Snake-Powder","0 to 9.2",0,9.2,"Biological Criteria","Year Round",3,2010,"1/29/2013","No action",21,3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:   
LASAR 35809 River Mile 2.58 FROM 8/16/2000 To 8/23/2001 1 out of 2 (50%) samples outside WCCP regional criteria."
"1807",28598,24235,156,"Lake Creek","Lake Creek","","",1240618427052,NA,31378,"Coquille","Southern Oregon Coastal","0 to 0.9",0,0.9,"Biological Criteria","Year Round",3,2010,"1/29/2013","No action",21,3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:   
LASAR 34698 River Mile 0.16 FROM 8/23/2007 To 8/23/2007 1 out of 1 (100%) samples outside MWCF regional criteria."
